card_id,name_zhs,type,rarity,cost,family,image_path,version,prompt_version,status,reviewer,issues,integrated
CAN_AO_STRIKE_CARD,打击,Attack,Basic,1,D,art/cards/raw/card_can_ao_strike_v03.png,v03,v03,首轮通过（原生画风·极简重做）,Kimi,v02太复杂已入回收站,否（待Publish接入）
CAN_AO_DEFEND_CARD,防御,Skill,Basic,1,D,art/cards/raw/card_can_ao_defend_v03.png,v03,v03,首轮通过（原生画风·极简重做）,Kimi,v02太复杂已入回收站,否（待Publish接入）
FENG_YU_CAN_HUO_CARD,凤羽残火,Attack,Basic,1,A,art/cards/raw/card_feng_yu_can_huo_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
JI_HUO_CARD,祭火,Skill,Basic,0,E,art/cards/raw/card_ji_huo_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
RAN_YU_TU_XI_CARD,燃羽突袭,Attack,Common,0,E,,,,,未开始,,否
GU_JIAN_DA_JI_CARD,孤剑打击,Attack,Common,1,D,,,,,未开始,,否
YUE_ZHAN_CARD,月斩,Attack,Common,1,B,art/cards/raw/card_yue_zhan_v03.png,v03,v03,重做通过（银白X剑气）,Kimi,-,否（待Publish接入）
QIN_WEI_FENG_ZHAO_CARD,亲卫奉诏,Attack,Common,1,C,,,,,未开始,,否
YU_QIAN_CAI_JUE_CARD,决断,Attack,Common,1,C,,,,,未开始,,否
QING_LUAN_GOU_FA_CARD,青鸾勾法,Attack,Common,1,B,art/cards/raw/card_qing_luan_gou_fa_v03.png,v03,v03,重做通过（勾断电球头）,Kimi,-,已接入（v03已重新部署）
ZHE_YI_FAN_JI_CARD,折翼反击,Attack,Common,1,D,,,,,未开始,,否
JIU_WANG_FU_LIN_CARD,旧王复临,Attack,Common,2,F,art/cards/raw/card_jiu_wang_fu_lin_v01.png,v01,v01,二批通过（原生画风）,Kimi,-,否（待Publish接入）
BAO_HUO_CARD,抱火,Skill,Common,0,A,,,,,未开始,,否
QU_SHI_BAI_ZHONG_CARD,取势败中,Skill,Common,0,D,,,,,未开始,,否
GUI_LUN_CARD,桂轮,Skill,Common,1,B,,,,,未开始,,否
YUE_HUA_PING_ZHANG_CARD,月华屏障,Skill,Common,1,B,,,,,未开始,,否
XING_HUI_HU_ZHEN_CARD,星辉护阵,Skill,Common,1,B,,,,,未开始,,否
GUAN_XING_WEN_YUE_CARD,观星问月,Skill,Common,1,B,,,,,未开始,,否
FEN_YU_SHOU_SHI_CARD,焚羽守势,Skill,Common,2,A,,,,,未开始,,否
GU_YUE_MING_CARD,孤月明,Skill,Common,2,F,,,,,未开始,,否
CHUAN_LING_CARD,传令,Skill,Common,1,C,art/cards/raw/card_chuan_ling_v01.png,v01,v01,二批通过（原生画风）,Kimi,-,否（待Publish接入）
FEATHER_RANKS_CARD,羽列千军,Attack,Common,1,A,,,,,未开始,,否
SHI_WEI_CARD,示威,Attack,Common,1,D,,,,,未开始,,否
YU_HUO_SLASH_CARD,浴火斩,Attack,Uncommon,1,A,,,,,未开始,,否
SACRIFICIAL_PREPARATION_CARD,牺牲准备,Skill,Uncommon,0,A,,,,,未开始,,否
YU_HUO_BANNER_CARD,浴火军旗,Power,Uncommon,1,A,art/cards/raw/card_yu_huo_banner_v01.png,v01,v01,二批通过（原生画风）,Kimi,-,否（待Publish接入）
ZAN_BI_FENG_MANG_CARD,暂避锋芒,Skill,Uncommon,1,D,,,,,未开始,,否
PAN_XUAN_CARD,盘旋,Skill,Uncommon,1,B,,,,,未开始,,否
XING_YUE_FA_MO_CARD,星月伐魔,Attack,Uncommon,1,B,,,,,未开始,,否
TIAN_FENG_JUN_ZHEN_CARD,天凤军阵,Power,Uncommon,2,B,,,,,未开始,,否
ZHENG_ZHAO_CARD,征召,Skill,Uncommon,1,A,,,,,未开始,,否
YU_HUO_STRIKE_CARD,浴火打击,Attack,Uncommon,2,A,,,,,未开始,,否
FEN_GAO_JI_GUI_CARD,焚膏继晷,Skill,Uncommon,1,E,,,,,未开始,,否
FENG_GU_ZAI_RAN_CARD,凤骨再燃,Skill,Uncommon,1,E,,,,,未开始,,否
LIE_KONG_CARD,裂空,Attack,Uncommon,0,B,,,,,未开始,,否
FENG_YAN_LIAN_ZHAN_CARD,凤焰连斩,Attack,Uncommon,1,E,,,,,未开始,,否
CHU_QIAO_CARD,出鞘,Attack,Uncommon,1,D,,,,,未开始,,否
JIN_YU_HUI_XUAN_CARD,烬羽回旋,Attack,Uncommon,1,E,,,,,未开始,,否
WANG_WEI_YA_JING_CARD,王威压境,Attack,Uncommon,2,D,,,,,未开始,,否
HUI_JIN_FENG_BAO_CARD,灰烬风暴,Attack,Uncommon,2,A,,,,,未开始,,否
PO_MO_REN_CARD,破魔刃,Attack,Uncommon,1,D,,,,,未开始,,否
WANG_SHI_QIN_ZHENG_CARD,王师亲征,Attack,Uncommon,2,D,,,,,未开始,,否
PO_ZHEN_CARD,破阵,Attack,Uncommon,2,D,,,,,未开始,,否
ZHUI_XING_WEI_YUE_CARD,坠星为月,Skill,Uncommon,0,B,,,,,未开始,,否
ZHAO_YUE_CHENG_XING_CARD,照月成星,Skill,Uncommon,1,B,,,,,未开始,,否
YUAN_JUN_CARD,援军,Skill,Uncommon,1,A,,,,,未开始,,否
JU_JING_HUI_SHEN_CARD,聚精会神,Skill,Uncommon,1,E,,,,,未开始,,否
CUI_HUO_CARD,淬火,Skill,Uncommon,1,A,,,,,未开始,,否
CHANG_MING_CARD,长鸣,Skill,Uncommon,1,E,,,,,未开始,,否
BU_ZHAO_CARD,布诏,Skill,Uncommon,1,C,,,,,未开始,,否
FENG_HUO_CARD,烽火,Skill,Uncommon,3,A,,,,,未开始,,否
WAN_LING_QI_FA_CARD,万令齐发,Skill,Uncommon,X,C,,,,,未开始,,否
MI_ZHAO_CARD,密诏,Skill,Uncommon,0,C,,,,,未开始,,否
DI_GUO_YU_WEI_CARD,帝国余威,Power,Uncommon,1,C,,,,,未开始,,否
BU_DUO_CARD,不堕,Power,Uncommon,1,B,,,,,未开始,,否
FENG_HUN_CARD,凤魂,Power,Uncommon,1,E,,,,,未开始,,否
JIAO_HUI_CARD,交辉,Power,Uncommon,1,B,,,,,未开始,,否
SHOU_QUE_CARD,守缺,Power,Uncommon,1,B,,,,,未开始,,否
DENG_JI_CARD,登基,Power,Uncommon,1,C,,,,,未开始,,否
FENG_HUO_JUN_XIE_CARD,凤火军械,Power,Uncommon,1,A,,,,,未开始,,否
FENG_YAN_BU_XI_CARD,凤焰不息,Power,Rare,3,A,art/cards/raw/card_feng_yan_bu_xi_v03.png,v03,v03,重做通过（爆烈蓝光巨凤）,Kimi,-,已接入（v03已重新部署）
